CPF,horas_atuando,duble_cpf,seguidores_instagram,seguidores_twitter
13963494199,1000,,15668,85273
79519499429,500,58533101073,13048,82551
66808555673,500,10955596831,65948,39596
51114140563,100,,53335,86494
66262599503,20000,13963494199,26876,41880
65645194794,5000,75945178837,40253,60610
80343555288,500,58230783451,88350,56990
84456350323,100000,66262599503,77522,37255
91668803384,1000,,48595,32160
19997722251,100000,75945178837,59701,44899
91312052505,100000,89782104555,59794,84709
50615884232,12000,51114140563,33197,28107
54252793142,500,89782104555,23090,20843
21764102281,500,60820868110,37076,26656
99953963165,12000,65645194794,25396,39877
89618369384,5000,,69277,45040
27040864926,20000,,52975,2797
82054608372,1000,,81873,30798
58930777247,100000,,63386,72031
66485543423,15000,,93423,70545
96450879661,100,,1056,46245
43615476454,2500,79883222212,12373,10369
51604296066,1000,,87055,29668
60054211414,15000,,69910,52298
32596070727,15000,,53420,68630
61765476497,20000,,58675,52689
85236814996,12000,,58546,30855
78944312942,1000,,97804,65870
16211809218,1000,15523819198,76141,60506
80442230626,100000,,86038,2130
83616376206,20000,34204444604,63211,49856
55642679176,15000,,77376,66726
85256945093,12000,27040864926,96315,42968
52504032978,100,61196505081,42358,8698
77284878892,50000,,41561,75665
51297399291,500,,28482,54144
34317425171,20000,16233140694,28828,55819
19317424553,50000,62090201667,58084,948
42794222924,20000,,71497,23382
70155550015,100,55642679176,61734,90976
18172385919,1000,17733493364,11458,64213
76272133634,500,85236814996,27983,65721
63382531486,500,99953963165,50073,76039
36476458296,100,19728313672,15172,37865
63099284822,20000,47580767548,86086,25439
74713138453,1000,65645194794,54299,26443
20620758517,20000,19985507570,81880,94711
29803576438,15000,,70650,7269
62045704274,20000,80442230626,33641,33639
22059811554,50000,,60037,92634
91954644894,15000,18172385919,49049,66493
97519253326,50000,85165873374,82381,94792
38632290646,20000,,61677,86092
50843603333,1000,60946683063,3060,79859
62928320725,100,,94113,12671
64004904852,2500,84065321519,96136,52492
41222469055,5000,58083841260,66519,67891
88402746236,100,14188967429,16561,59872
38522490281,15000,14188967429,31556,45508
31177998350,100,24947517479,10314,63400
74105886520,1000,,72207,30190
12524662882,100000,29749123016,79373,1072
62785545227,15000,,61008,75498
32807355312,20000,91668803384,9522,46199
52950014643,100000,19985507570,15358,23324
95037308551,100000,61219644518,24625,4820
20671571747,2500,41222469055,75677,54848
65786703648,500,,12315,70769
52471786111,500,65836835272,94656,35658
62043016583,15000,48183442470,72496,42311
49855829697,20000,50843603333,4640,112
79780493362,100,,4637,15247
34257719694,15000,79780493362,37665,53985
32967466770,50000,63099284822,63337,69142
36847846647,5000,74322272096,78539,31004
65036740172,15000,12524662882,73966,34122
14694369297,20000,62043016583,17894,92698
66326628494,50000,51604296066,54290,62324
64571035630,50000,88214618506,34598,68775
13500854462,100000,,20619,34720
70817437759,100,31177998350,20542,41503
18019909640,100,,16640,43328
49281693226,50000,62045704274,70086,42992
76020909654,2500,97543734378,81969,24970
37514805460,5000,,38523,31425
63467968717,100,50294322171,32263,36685
66938058878,15000,97519253326,43365,76914
34392546280,500,77284878892,2937,31049
87497096798,50000,,28354,8518
12375665361,12000,,44370,51388
13934096913,12000,96450879661,66749,89511
43734876260,100000,26315031125,44761,58915
71859759932,2500,74322272096,28407,37868
47228205564,20000,,63230,40878
36461904113,500,73579592968,16989,80736
24943270937,15000,68223647908,45943,13240
47173756947,100,21432468838,66413,66246
61591819045,2500,,26819,44474
44724330203,12000,,19458,3084
97399730241,2500,49855829697,12870,99160
50169110076,100,43615476454,34961,73139
53989705594,50000,14566008889,76389,40557
81742526704,500,48183442470,65988,63261
48917591744,50000,47580767548,76590,96194
24871125639,100000,,66546,13484
39673693089,100,,88569,63736
10001470475,2500,,65552,49810
19752186774,500,,1023,17117
47730431111,500,70817437759,84086,22902
57646406025,50000,52504032978,16849,59794
37934155451,50000,,67038,57707
68604534172,5000,16211809218,33573,92899
71874930060,2500,,86544,72091
45286018686,12000,81742526704,65226,50394
39588870013,100000,66251803959,30515,93460
77737507303,20000,,25087,23845
97497289715,5000,36714864815,10191,31402
81895513559,500,51604296066,6761,15677
45880529758,12000,,29527,64196
47914187648,500,61196505081,49507,3431
27055779722,500,80343555288,190,73097
58268421660,20000,26315031125,67911,84519
16676173347,5000,47228205564,83097,77422
82708077943,2500,39673693089,4962,93804
13045619909,50000,19728313672,6987,99969
27049869371,100,,39826,44081
52480929498,20000,70817437759,53988,60631
15159494134,20000,52504032978,17657,66917
36365219700,1000,94350372206,30412,65724
26425802117,5000,45880529758,58905,94595
85145506498,20000,,26231,36961
84371237961,15000,77865526808,75325,7833
47876099062,5000,60930840381,41847,99772
91719313892,100000,,19472,19690
78891622428,5000,77865526808,57509,11443
79319340379,100,,54747,83713
35222416878,12000,64004904852,51765,35055
34210612154,50000,,71753,4044
77472759415,20000,,61441,22113
33946953804,100000,18690897935,78119,15482
23623723355,20000,91945631962,82638,6482
54829232035,50000,,92791,78699
61577359667,20000,55332757758,1738,84948
86864467950,50000,,24640,10696
15511958420,2500,24943270937,13465,39609
87920257310,500,27185819902,17868,31312
10563247434,50000,,69994,2232
21724050762,5000,,82126,616
52679990828,20000,15511958420,40525,3777
66758829911,20000,80442230626,22990,43088
38609921218,500,78891622428,24809,45601
84273763217,15000,19985507570,49963,85735
11223085298,500,61219644518,80517,57421
29170401634,5000,37514805460,78227,25062
42203158722,100,,9233,13199
90724417702,100,,64754,79103
17913176350,100,12524662882,56131,13906
89730854374,1000,37514805460,82702,44214
96645802364,500,,99204,81689
85249197152,2500,,13150,17844
50411067514,100000,77737507303,66164,2509
41923281840,500,22059811554,62093,51094
37963161154,1000,27040864926,56496,39551
91531777984,2500,45294382560,20719,74319
30963107794,20000,,7032,96777
13411251725,100,57512745769,7434,6939
81116124351,50000,,53130,57890
88592393108,100000,78710292980,40851,11634
42207129665,20000,,72148,48723
81338520592,500,,44447,85224
81414454007,15000,91531777984,70256,54752
76595152560,1000,79780493362,45640,95821
61583136008,50000,38522490281,58321,85484
94069204081,100,62045704274,83211,51191
72383760885,50000,80343555288,76483,36874
37115521673,1000,58930777247,96122,49380
93418349840,100000,16233140694,12074,23385
48535430470,12000,77737507303,57403,49171
40703209343,20000,20620758517,24955,88970
58852328143,50000,81414454007,63461,45068
11981568469,15000,97497289715,17388,49016
45890335263,5000,85236814996,87560,71834
16523873827,500,51114140563,73083,33211
71430548658,5000,54252793142,27266,73731
75812996997,100,89618369384,88369,98422
15016988403,20000,79319340379,99907,92208
72067847866,2500,96944647226,22683,66990
25247829740,1000,19985507570,99714,13501
10929352106,500,27055779722,96875,25642
80870115573,50000,47228205564,94930,73746
51510745334,20000,,74030,25338
21296094434,5000,45890335263,13147,92415
23737366991,15000,,10633,11968
81498287090,15000,,20808,13384
45314620667,20000,,27962,17583
32130597579,15000,,86389,54296
77296802668,1000,79319340379,11458,44731
29411041689,15000,96944647226,88251,4665
11458164982,500,12375665361,25987,63978
20585765256,1000,72067847866,71972,56337
30826989924,500,10001470475,77801,50015
19287956323,2500,,3475,68797
99420528183,100000,41222469055,50403,57479
35012233227,100000,,6210,7583
21002850434,5000,16211809218,36931,91203
76831093040,100000,85249197152,14894,53568
97224252968,15000,,42978,41873
81023424721,50000,,36607,17701
10166936668,500,,27909,84964
59996488632,100,50294322171,18650,70025
90279496623,50000,,94718,59889
42798447861,100,,32724,86266
95298830679,20000,,123,80016
67156697337,100,,60870,22128
42895316380,50000,61577359667,7285,65147
13203198511,1000,,2480,97380
47310095892,500,65036740172,52199,86131
51457815541,100000,84371237961,76362,70809
68262274304,20000,,16128,36614
32695241400,2500,61591819045,24484,33470
97672540860,12000,54252793142,13136,96561
70805128120,12000,30054096892,76967,83284
66181908300,50000,70817437759,41087,28266
21639110588,2500,,87084,14760
27394325598,12000,66758829911,78147,69743
93594891991,20000,64223323622,85572,36612
93818621970,100,,86651,24175
63245306571,500,34392546280,48432,88361
33274305676,12000,76272133634,55604,27735
23764358611,100,42794222924,18136,69434
48491903027,2500,79319340379,9411,46925
72866279004,5000,13934096913,37586,46560
14847644406,1000,,95973,14319
71279771532,15000,87920257310,93476,43389
99965373155,100,13203198511,67921,90914
56080696747,15000,70155550015,55947,26531
47780404952,15000,,96637,3605
45705479281,500,76831093040,52622,55312
38177992739,15000,70805128120,40981,96414
96343350857,15000,78944312942,1054,23030
35846581224,15000,,45713,80247
92798179394,100000,,50791,15321
43103930806,2500,23737366991,78790,33712
98391002386,500,45880529758,29805,69865
11247177225,12000,,16062,51782
10719046774,20000,91978880965,47592,21935
36286786781,100,62045704274,78172,10047
93973448473,2500,91945631962,70796,58509
40833114729,100000,,23076,80723
25891758542,15000,58930777247,78501,82906
50157172630,20000,38609921218,56313,14814
30080547948,5000,,86499,65906
10324306622,12000,63467968717,69842,73810
16736927396,12000,,79565,53731
89838852577,100,53989705594,16982,58178
14394721750,1000,79780493362,90493,87461
62425732288,2500,81742526704,74178,68282
25700302432,15000,27185819902,77235,39415
97978650347,12000,21083537444,2307,23052
67643542246,100000,,60426,27796
74304949986,100000,,16473,40675
60260088715,100,77865526808,43165,68860
41174951366,12000,37934155451,33553,31602
22297072923,1000,90279496623,58186,56744
87574161204,20000,40833114729,35036,38841
79992818758,100000,,38802,10422
33511460580,1000,11981568469,74814,86567
41373285447,12000,13500854462,61536,60024
71963039489,500,,99187,24005
59692209819,500,51114140563,38152,6940
27919827640,100000,52471786111,71386,72003
61052487331,5000,,67057,57097
78791943283,20000,,83392,98639
56949785851,100000,,72122,42478
36942882625,100,,7380,41518
33085153185,500,55492533949,44831,28534
62148161642,500,39673693089,41785,97576
76499201773,5000,47876099062,3803,76135
46774460630,5000,21764102281,80589,68730
98230404925,2500,,27684,57453
49964917863,12000,64763348634,75329,95749
24056017837,50000,42798447861,78069,78159
81657663714,100,88592393108,76132,21934
37904671861,1000,67156697337,42424,60150
25402197884,12000,62785545227,24670,31300
64309779143,12000,23737366991,14032,26679
41309526561,100,53989705594,65743,61587
14904042041,20000,,9909,5021
93928183289,500,,73347,97418
32526155489,100,,40033,88946
58949514846,2500,75945178837,67163,30155
91452467188,100000,,12642,31963
52112386896,12000,76499201773,85509,48284
74577019999,2500,36286786781,32678,14722
73185701125,50000,29749123016,70982,12026
15345315285,100000,52679990828,23847,16127
62175118081,15000,30080547948,58227,93312
66194124206,100000,24943270937,30128,91806
76527183292,100,96343350857,86091,75353
18245499535,50000,,63192,68979
47028322653,2500,15016988403,72605,77027
19845149855,2500,,73912,8313
59376540765,12000,,38745,29205
95632508007,12000,,22389,55319
68243035939,100000,,21232,98739
93567696875,100000,,77236,4182
88174137490,15000,77737507303,90991,52471
83908794882,50000,,72700,1520
57819760298,12000,89782104555,82023,64636
34446613246,50000,,65402,65103
62697614567,12000,98230404925,73576,77086
73866609711,100000,23623723355,52668,93896
19419109940,50000,,18190,77665
97313583233,12000,,91235,56086
94687291046,5000,13963494199,72089,87319
50534939429,12000,65836835272,14705,52146
20734332164,2500,,73589,20755
98321620689,15000,50169110076,5149,65635
13003694650,100000,47780404952,38524,44579
65910414804,1000,,9476,12301
50474149712,100000,,79690,87514
39219299268,50000,58230783451,24962,6713
84269573876,20000,57819760298,30925,38147
43685706708,50000,,14420,71793
59209647618,100000,,49176,55927
84054051788,20000,55642679176,29860,20718
32207097308,5000,,75243,12074
12085589211,500,,83959,51744
86948091202,5000,36714864815,95777,75454
44695587175,2500,,28586,28258
76254298247,50000,50411067514,63118,98559
10375669601,5000,93567696875,29835,34788
27314118614,500,61196505081,94987,99561
62945813273,2500,19419109940,29135,36740
74279379558,100000,,81445,95504
28431580722,15000,,69292,83979
25773834632,50000,,65530,71868
15249638737,5000,41373285447,82891,11697
46696393159,15000,37115521673,27106,62634
82706442835,100,15249638737,92352,24766
54067866074,1000,82706442835,3986,87484
36500162472,50000,,69176,55715
95279165264,15000,80343555288,31459,7451
15611430163,2500,,89806,91068
53554163671,50000,36365219700,26091,27209
64280243456,2500,,13273,68141
87221634739,500,11458164982,92927,85699
54330503131,5000,,66658,23920
33707996019,500,58230783451,89873,7103
26808606819,1000,27185819902,65184,79999
62020381490,100000,,64551,94590
10631671945,100000,97910203555,66532,67076
59255772354,12000,85165873374,52453,32035
18932112873,100,24947517479,52949,16996
98569289425,100000,89618369384,48712,72017
54079718555,2500,,8243,36031
17588052791,5000,27394325598,27305,84212
37581400776,2500,81742526704,71939,33316
67454839399,5000,,1393,14910
10529066428,12000,11450246857,75859,8855
57430273148,15000,,90010,78432
95835508027,100,32596070727,72712,45444
35951771680,100000,12375665361,47297,99501
62597020495,12000,,789,62817
53286506318,20000,77472759415,77437,64110
40575699847,20000,,82623,99377
57995919742,100000,,53271,15495
35921403523,100,40833114729,42157,80587
54439863057,1000,,76879,24258
41298466195,12000,,41917,91887
92204315887,2500,64004904852,94686,87533
49042459086,1000,64571035630,51527,70353
79838384439,100,37904671861,57660,49341
53047130359,5000,16233140694,33412,4397
48489519769,100,59255772354,9579,66977
37508634692,20000,82708077943,70171,85564
44379471862,5000,39673693089,46235,50101
22433268461,20000,,55414,96755
18442065505,100000,78944312942,51186,66676
72885046758,15000,,96103,77701
82739085300,20000,47914187648,92957,16490
22469772423,5000,,70493,83335
67858330147,2500,87221634739,46607,89689
67160481459,5000,88402746236,57294,52797
35274363580,12000,,99947,17569
34978122899,2500,63099284822,33897,12505
29316280832,100000,,50959,80107
14406643449,500,,18781,74085
67351785889,2500,70805128120,67486,53909
76490910878,500,20620758517,87581,10990
73764576501,15000,18245499535,27364,58514
21294093021,100,22059811554,2998,72380
70566675607,5000,59255772354,3923,19607
99791727567,50000,18932112873,32665,20713
64475301215,15000,39865053785,51483,61101
45473578423,5000,,79938,23215
53360213491,15000,,41496,5590
87532787444,5000,85256945093,32297,2627
77616098269,100000,,81412,97135
83910667036,1000,21764102281,92530,32588
78288555772,100,62597020495,52669,20187
93918004801,20000,64004904852,36363,34070
74411939806,20000,36714864815,19950,40832
41476262087,50000,79319340379,69436,93383
87658593708,20000,47310095892,41845,13004
57782832183,2500,18019909640,24131,97833
65687270990,100000,,72229,18101
35560219022,2500,13500854462,35666,61483
21691518650,100,,92574,56551
12594397276,100,10929352106,46135,87227
60325430854,5000,10631671945,51026,66091
15118458649,12000,,81886,8099
89005927205,12000,,60471,29544
73759662238,12000,41222469055,84859,68087
12250211131,100000,26425802117,86053,66320
39285088887,50000,,12705,61773
40078778419,500,72866279004,79853,25684
88851563420,5000,15159494134,43964,28151
33290534495,100000,83616376206,69842,25047
68193686451,15000,16211809218,31171,66744
81650051031,20000,,36405,68641
24110056479,500,79883222212,2482,66258
55649958276,50000,42244819922,80965,39489
42874662118,50000,50534939429,38497,49205
72525324368,50000,99953963165,22158,22693
12168862132,100000,,87432,3673
54663299094,1000,45473578423,40660,67153
46975594316,12000,,54309,30278
61447404308,50000,36500162472,63555,21239
46032111605,1000,58930777247,64297,87708
49790621875,2500,98321620689,82677,51486
23373480395,50000,75812996997,81207,77983
76433885604,100000,36942882625,56230,68312
48410957545,12000,33085153185,26405,75347
86377189983,20000,10375669601,3979,8118
13894565601,15000,67643542246,83375,56144
29614986490,5000,32207097308,59620,50941
68103756924,500,10719046774,81635,90613
52970535468,20000,,89562,70337
23040737484,2500,95279165264,71106,68296
19071113397,15000,,32275,55509
19661621745,100,,53796,73832
61077837124,15000,,83,96581
83213663774,500,64571035630,71264,34843
26476651245,50000,93918004801,51274,58599
31473391829,20000,12250211131,16776,47431
45675698975,15000,21083537444,74436,56282
33400123600,20000,97224252968,15161,12200
98413951972,2500,22469772423,5224,26636
34726783842,1000,47028322653,18775,70416
32738046924,1000,,58928,20982
65931272926,100,38609921218,21601,38355
81896392244,50000,,92693,99069
89900360748,2500,21524952464,5069,60089
35466629278,500,,45627,45937
84332881942,50000,81657663714,84984,1321
82655839704,2500,37904671861,4573,25040
83182782342,2500,42244819922,96965,97110
52612148891,2500,,51671,17242
61722686422,100,61447404308,74584,6348
77250502316,15000,18172385919,58098,64752
54074186084,15000,,29831,287
11167557203,20000,62148161642,31702,23228
39112164143,15000,52950014643,56992,32790
61210531275,50000,49281693226,50404,14748
43422878067,100,80870115573,99786,35053
48656612712,1000,10324306622,63223,81510
57579762686,2500,10166936668,2588,29765
29671684359,12000,29831054933,76032,52393
25729109928,12000,41222469055,23083,92116
93300572102,5000,33085153185,73255,26868
66045973337,500,95835508027,93119,19220
86630840276,500,90724417702,88480,43194
59570414709,1000,,8861,87103
70993336685,50000,21524952464,65916,60292
14525054029,100000,,83847,4581
49931977355,12000,32738046924,46613,97165
65926112442,500,,12404,58468
25317383863,20000,68243035939,94750,48828
23708480278,1000,68262274304,62869,80663
25590915648,2500,24056017837,99915,53054
27853020046,20000,37508634692,16338,6463
43373762551,2500,24056017837,35501,17401
67594261729,5000,,40038,59562
28852794022,100,,40807,64639
25799519248,5000,67643542246,26956,93092
60574284944,2500,,16522,46685
41701345367,15000,92798179394,6692,98263
38551552095,500,98413951972,67756,51253
35392985277,100,91978880965,78929,96241
81371127715,5000,68193686451,2015,39033
62378285814,5000,48489519769,23707,51954
40405020714,1000,33085153185,76698,1154
30570060978,12000,,64269,16050
11781085646,500,86630840276,68718,86307
93807412613,50000,94350372206,62314,25670
27757666734,5000,50411067514,6569,66505
51725498788,100000,68193686451,40924,98158
27469810221,50000,25729109928,61612,38190
54418909227,5000,51230026165,59226,6662
55826333137,1000,65687270990,37421,77659
18867927530,100000,,75275,26321
52461553332,15000,,92772,7782
22627368092,50000,41373285447,19872,74106
49355458600,50000,45880529758,71195,62048
49814513450,2500,23373480395,78888,64668
25735727640,1000,68262274304,88526,86314
73650787834,12000,,41632,33620
17910284589,20000,10166936668,51463,17457
30552859012,2500,64763348634,94970,12127
64599926157,500,,95319,77815
40360953721,50000,35274363580,35783,14440
83133778780,2500,25402197884,73926,46169
88403914803,50000,,61142,19503
97573236493,2500,,84687,59920
82362981633,20000,43373762551,98662,70345
42807271863,50000,,25160,78318
59042916487,20000,93300572102,80179,5748
79666037416,100,23373480395,57685,77239
73041784856,50000,,64057,18728
14213070001,1000,34978122899,97973,69686
96596195871,100,75812996997,15243,91547
62585033907,1000,,71228,23289
87332528538,20000,52471786111,934,9492
26022115853,5000,57512745769,16879,52823
54554179928,5000,35560219022,46795,37563
74099372964,100000,,79961,74930
47572581779,2500,99953963165,51059,16106
92593157955,12000,25247829740,16018,25948
12108527568,2500,,95336,64525
54134980749,2500,51604296066,6418,85312
47164168052,1000,,45538,27756
10442278878,1000,54829232035,15757,99130
62760707153,1000,,83501,80878
77128011007,2500,66326628494,94758,12300
13720716618,500,89838852577,18022,84976
85759887942,500,10324306622,23989,2974
23018904475,12000,64763348634,50339,68935
71368514728,2500,47580767548,72317,14192
75082936603,20000,39865053785,59583,56090
70218968909,20000,18245499535,85531,65554
52482335070,100000,79780493362,36,30164
63071988866,2500,,21642,67101
52787601548,500,,93684,83697
94903851157,100,68604534172,69917,11689
91012325810,2500,72383760885,12391,21536
58652614383,20000,34446613246,61244,74781
24082835239,100000,70861856830,76728,78297
33957586145,1000,74279379558,132,48236
58624199728,2500,66194124206,76645,79467
64183658626,100,30416119277,41451,52803
59852973731,500,,60311,35650
25118387138,500,35466629278,58372,89019
42638233088,2500,23018904475,26059,99251
76292542381,2500,,50843,5439
48938357463,2500,33400123600,37772,27309
36828837352,1000,,55674,85651
13131335050,500,19997722251,31998,25924
98077256031,50000,,60597,85128
56624288882,2500,,78880,99736
90632155093,1000,22433268461,89993,52279
15178614644,100000,,37092,92908
93212464089,5000,,95107,87015
22013176367,1000,96944647226,83061,53071
65489350087,20000,50534939429,30617,50097
30345920566,100000,,96303,11004
14488450226,2500,12594397276,46372,32911
60613733721,5000,46774460630,37374,94500
68685678210,5000,52612148891,72998,15926
89318098707,5000,,39018,96347
11616857764,20000,82655839704,40911,10970
79910212360,5000,89005927205,18837,90364
14869843283,100000,17588052791,20019,78762
62972358671,500,,67395,12377
46533758288,1000,67156697337,51115,4213
40744220201,100000,,79406,47652
31778557087,1000,43373762551,72391,77442
12607484537,50000,,40268,80586
84389228770,100000,76433885604,72338,45440
88909017599,100000,64018357188,27284,71003
34778442825,20000,79910212360,36073,37253
57451485485,50000,,58666,75712
64678306687,20000,46533758288,15769,7216
91117907889,500,14694369297,42624,94779
10713357191,1000,84054051788,77864,52811
13150073755,2500,42207129665,25229,52694
26975901648,12000,95279165264,79463,58662
84441730561,2500,41701345367,85581,38498
89754129094,12000,,78210,65314
13311101118,2500,56827053184,62962,89980
74398148727,50000,62425732288,26482,12699
50153921282,5000,54418909227,17444,76290
40456639194,20000,93418349840,6378,58193
37783717201,500,,2905,1532
82443960264,100000,82655839704,83411,14807
14883726733,15000,87332528538,76496,44640
45483320085,12000,19845149855,29894,99395
48775684911,100,62585033907,70629,33300
69387812139,2500,,46727,74834
31043912204,2500,72067847866,99543,55508
73435609834,12000,39865053785,88566,46058
44441766182,100000,35951771680,25393,23274
88964614223,15000,42203158722,60411,80772
49780687156,5000,,1619,44551
64197259507,20000,31473391829,30967,24215
69789969049,50000,40833114729,20276,99883
50882197545,1000,,31101,15881
15242876081,500,62020381490,31939,46966
70794569062,2500,,95890,19278
76768248839,2500,64475301215,90767,35489
95048312506,20000,10166936668,16143,65894
51195048823,1000,,2650,62373
58502056965,5000,27185819902,96457,47566
24771727372,100000,20671571747,84484,94377
34948616390,12000,,15120,57126
12409646402,1000,71430548658,9012,4372
32501583773,50000,,53252,36310
72253415128,50000,93807412613,96970,19739
93274421626,100000,97313583233,66335,13924
31023269947,15000,,92924,84367
93631026811,50000,81895513559,29049,5711
88386181550,12000,,84912,58574
10927522492,5000,56827053184,35464,70455
70823082216,1000,91719313892,33022,92842
39800045337,5000,43734876260,15811,20794
22708982223,1000,47572581779,4000,60563
62906099443,100000,,95851,25923
71584668816,2500,62043016583,29193,53489
64626341457,2500,,17403,46403
74360499381,5000,81895513559,96151,9809
83442498876,12000,80343555288,82671,81239
21640850500,5000,76020909654,63931,16473
55171964778,100000,,87604,24125
10921567707,50000,16523873827,6403,93774
27020767199,1000,77737507303,28474,31626
26152062636,500,19752186774,34557,71209
23622700638,2500,65862816230,10953,18912
53045438092,15000,91312052505,50174,14858
48309471076,100000,41923281840,56647,14806
36887117563,100,,23978,62461
65249617255,5000,37115521673,48635,7242
43026728005,1000,67594261729,66292,11019
32418995510,1000,48535430470,38594,79566
74779805814,50000,63467968717,25961,44167
92213570926,100000,56949785851,33835,15118
80860932994,100000,,30314,9579
44189402322,15000,27919827640,86909,28700
97258090438,5000,,45228,37618
17563861687,500,38522490281,42966,70267
53493670383,100,49355458600,3444,15239
33884544825,50000,67454839399,77376,2959
39995605824,100,,45236,55919
52697986429,500,37115521673,16866,61708
54918718318,100,82708077943,93203,69670
81155604837,100,80343555288,41007,46985
45249386269,5000,30963107794,94069,72762
57365906697,100,84269573876,48647,5203
35443803207,2500,,70235,85808
78942141405,15000,62425732288,59688,95494
23246682658,100,37904671861,56669,82696
47366287210,15000,39800045337,12844,14651
44512519164,1000,65645194794,75107,52215
74121886864,2500,,42398,54570
45510735679,1000,,75232,6540
16251247871,100000,67858330147,28124,38946
86939847692,5000,36714864815,26461,67690
94379874648,15000,,27767,5890
90006259328,100,,35128,6069
67223876988,50000,,88053,64665
87359781837,5000,21432468838,69327,91723
75429128006,100000,,67606,41791
32247866860,2500,76272133634,39949,91009
80790950541,100000,,79448,12132
66938633906,100000,,63629,54908
11979795228,20000,,65990,9071
30236731179,50000,81023424721,895,4809
95522854564,1000,37963161154,75248,68684
93459511598,50000,30054096892,41936,73227
61849465247,12000,43422878067,78815,33592
53516449510,100,22059811554,25325,72944
91340644718,5000,,98675,74586
70767468318,15000,89318098707,99021,67136
59597865768,1000,29749123016,12659,28182
96501290161,2500,78944312942,80361,47565
53084989592,100000,72383760885,91517,25581
10560474277,1000,,33106,73086
31068161478,100,25317383863,54197,36010
12612940889,100,83442498876,7,52404
84897344226,2500,66938058878,42858,99316
14062311364,2500,,38024,72926
99423540307,500,74322272096,679,98463
64524597259,20000,,92217,47238
26887795069,100,25317383863,59735,5212
36696126142,15000,88851563420,64051,83720
90891556777,15000,35222416878,72493,52996
41370586307,2500,63245306571,238,64698
66285241765,15000,,28571,28593
19606880190,100000,17913176350,28850,16403
48567773391,500,,68616,80586
26824336904,500,,125,65920
34427963578,100000,,18891,33753
17192422382,5000,76254298247,15266,88898
56412839304,12000,22297072923,91612,80069
86038130276,12000,,1668,89815
90235816624,20000,,24415,92452
88474841424,12000,,99856,94924
67872139744,15000,77472759415,70460,83809
76930073622,20000,79319340379,34376,70123
77457479122,100000,35012233227,78727,81498
85382142751,20000,,49673,56223
58675571640,12000,30552859012,42219,59951
36542439077,5000,18442065505,54241,94071
