ID,nome,numero_de_atores,audiencia,diretor_cpf,numero_de_episodios,data_inicio,horario
425,Ice Age,86,896474,12331401888,76,2009-07-21,01:00:00
672,Harry Potter and the Chamber of Secrets,33,996979,99540542287,30,2008-04-15,17:00:00
557,Spider-Man,70,622833,28345797126,93,2013-04-11,19:00:00
2675,Signs,6,254932,36157057070,56,2012-11-20,01:00:00
65,8 Mile,21,866294,71347164865,49,2014-11-15,09:00:00
1574,Chicago,57,766306,27018522122,83,2008-06-10,02:00:00
9016,Treasure Planet,94,284297,44162676528,69,2006-01-12,13:00:00
14128,Cinderella II: Dreams Come True,7,198599,98352045089,85,2010-01-09,00:00:00
11544,Lilo & Stitch,41,510308,85892932617,75,2012-10-14,18:00:00
17774,Derailed,56,83618,93752275676,5,2015-04-04,10:00:00
10590,We Were Soldiers,11,680492,76639729502,9,2013-02-23,01:00:00
818,Austin Powers in Goldmember,55,684376,95901291471,88,2012-03-21,18:00:00
1429,25th Hour,36,326219,39198843099,18,2008-01-29,21:00:00
1809,The Rules of Attraction,51,585006,76974928495,58,2013-09-22,14:00:00
4614,The Sum of All Fears,40,29945,12041930448,5,2004-10-12,18:00:00
22,Pirates of the Caribbean: The Curse of the Black Pearl,29,777525,91568655616,37,2002-09-16,06:00:00
122,The Lord of the Rings: The Return of the King,65,537469,64991423617,85,2008-07-01,17:00:00
310,Bruce Almighty,3,960459,92336045911,18,2016-09-28,06:00:00
24,Kill Bill: Vol. 1,55,452882,44299817939,30,2013-12-06,07:00:00
322,Mystic River,46,226108,19635800432,43,2013-07-26,07:00:00
670,Oldboy,42,378831,27338564308,8,2003-08-18,19:00:00
13654,101 Dalmatians II: Patch's London Adventure,11,272649,57412790840,37,2012-02-03,22:00:00
616,The Last Samurai,22,137054,21769169181,29,2009-08-28,10:00:00
9506,Anger Management,63,505930,49013580880,83,2005-09-10,07:00:00
553,Dogville,9,501919,10914087996,61,2009-03-12,07:00:00
11635,Old School,6,406312,62516763828,66,2005-06-05,19:00:00
6466,Freddy vs. Jason,12,818481,68026716145,92,2008-03-20,22:00:00
9373,The Texas Chainsaw Massacre,53,887815,52503671965,99,2014-12-27,16:00:00
1647,The Recruit,17,267877,91780742736,19,2001-03-06,08:00:00
508,Love Actually,27,347963,28565482464,22,2012-11-28,13:00:00
302,Swimming Pool,57,605858,71840257922,11,2005-11-28,04:00:00
176,Saw,37,944686,24343850834,78,2006-07-09,04:00:00
2059,National Treasure,78,211658,55060865331,96,2012-09-10,00:00:00
2048,"I, Robot",84,834072,72657816991,14,2009-11-16,21:00:00
9806,The Incredibles,9,366134,34971734898,34,2004-09-12,16:00:00
70,Million Dollar Baby,3,140869,89834041434,8,2002-01-17,10:00:00
652,Troy,29,658155,11617325157,1,2000-07-04,02:00:00
1538,Collateral,52,394777,68981867854,45,2009-11-08,15:00:00
1824,50 First Dates,86,440796,45805529205,21,2000-04-15,06:00:00
10625,Mean Girls,57,454179,48468052965,36,2009-04-01,11:00:00
11081,Taking Lives,15,6484,77383302741,58,2004-02-05,20:00:00
421,The Life Aquatic with Steve Zissou,51,955980,70699149463,76,2012-02-16,18:00:00
8920,Garfield,33,796400,12751510866,55,2002-06-04,11:00:00
9833,The Phantom of the Opera,59,135543,49442637802,64,2011-06-28,06:00:00
14462,The Manchurian Candidate,70,978780,59905746549,67,2015-10-29,05:00:00
693,Meet the Fockers,47,215771,41014136480,74,2003-11-17,16:00:00
2841,A Very Long Engagement,92,236869,13208479472,13,2007-01-16,03:00:00
