CPF,codicao_socioeconomica,regiao_geografica,posicao_politica,religiao
11163225476,classe media,sul,direita,catolico
67120543948,classe media,nordeste,centro,budista
77553352644,classe baixa,sudeste,centro,evangelico
17599360018,classe media,sudeste,esquerda,ateu
15234931851,classe baixa,sudeste,esquerda,ateu
54866293368,classe alta,sul,centro,ateu
48640804590,classe alta,sul,esquerda,judeu
82680416421,classe media,sul,direita,evangelico
32988793978,classe baixa,nordeste,centro,catolico
06461558362,classe alta,nordeste,esquerda,budista
51209072401,classe alta,nordeste,esquerda,ateu
46121162527,classe alta,norte,esquerda,judeu
90540947267,classe media,norte,esquerda,ateu
14879502650,classe media,centrooeste,centro,judeu
49123427620,classe media,sudeste,direita,catolico
54176794147,classe media,nordeste,esquerda,judeu
08801337902,classe baixa,sudeste,direita,evangelico
14031789065,classe alta,nordeste,direita,judeu
39419935310,classe alta,sudeste,centro,catolico
24386897324,classe baixa,sudeste,esquerda,espirita
64852242709,classe alta,sudeste,direita,budista
64582457644,classe media,sul,centro,evangelico
31329864153,classe alta,norte,esquerda,budista
15704012739,classe baixa,centrooeste,esquerda,evangelico
44625759181,classe baixa,centrooeste,centro,catolico
87720576954,classe alta,centrooeste,direita,budista
80366338941,classe alta,norte,esquerda,judeu
86709043451,classe baixa,sul,esquerda,evangelico
11267993544,classe alta,sul,esquerda,evangelico
83526423577,classe baixa,norte,direita,catolico
53482073107,classe alta,nordeste,direita,judeu
64610171754,classe alta,sul,esquerda,espirita
52228078744,classe alta,norte,direita,catolico
93766492024,classe baixa,norte,centro,catolico
67473465396,classe baixa,centrooeste,direita,evangelico
32550066704,classe alta,sudeste,centro,catolico
93812061015,classe baixa,sul,direita,budista
04070585629,classe alta,norte,esquerda,evangelico
76243814907,classe baixa,sul,direita,budista
52204980058,classe media,nordeste,centro,catolico
22324172228,classe media,norte,centro,espirita
40520821005,classe media,norte,centro,catolico
13183823983,classe media,centrooeste,centro,espirita
67676792835,classe alta,norte,esquerda,evangelico
33050481023,classe alta,sul,esquerda,espirita
94526641215,classe alta,norte,direita,espirita
79763819419,classe media,norte,centro,budista
55294796002,classe baixa,sudeste,esquerda,catolico
22191459329,classe baixa,sudeste,esquerda,judeu
75530690007,classe baixa,centrooeste,esquerda,catolico
81140323522,classe alta,sul,esquerda,ateu
29037602305,classe baixa,sudeste,esquerda,judeu
89470290796,classe media,norte,esquerda,ateu
01635067952,classe media,sul,esquerda,budista
01585031252,classe media,nordeste,direita,espirita
91107111169,classe baixa,centrooeste,esquerda,ateu
94742576404,classe alta,nordeste,esquerda,espirita
60587448241,classe media,nordeste,centro,evangelico
10284487695,classe alta,nordeste,centro,catolico
04090191771,classe baixa,sudeste,centro,judeu
74510667440,classe baixa,sudeste,direita,espirita
20316501926,classe baixa,nordeste,direita,evangelico
34628833159,classe alta,centrooeste,direita,espirita
01866233229,classe baixa,nordeste,direita,budista
16687849327,classe media,sul,direita,judeu
67786345560,classe media,norte,direita,espirita
64962455172,classe baixa,centrooeste,direita,evangelico
24477427300,classe alta,norte,esquerda,evangelico
30832310674,classe alta,centrooeste,centro,judeu
24790770591,classe baixa,centrooeste,direita,catolico
45366402407,classe baixa,norte,esquerda,evangelico
43078166333,classe baixa,norte,esquerda,judeu
23248508562,classe media,norte,direita,catolico
03022776953,classe media,nordeste,centro,judeu
48037233959,classe alta,sudeste,centro,espirita
17748732540,classe alta,centrooeste,direita,evangelico
43462822643,classe media,norte,centro,judeu
38734549315,classe media,nordeste,esquerda,evangelico
66265702041,classe baixa,centrooeste,direita,evangelico
34433277166,classe alta,sul,centro,espirita
97725750066,classe alta,centrooeste,esquerda,judeu
53983242131,classe alta,sul,esquerda,catolico
72644632610,classe alta,sul,centro,evangelico
19039390896,classe alta,centrooeste,direita,ateu
26239557971,classe media,nordeste,direita,judeu
17431870275,classe media,sul,centro,ateu
46086248254,classe alta,centrooeste,direita,judeu
80864240004,classe baixa,centrooeste,esquerda,espirita
