CPF,horas_atuando,duble_cpf,seguidores_instagram,seguidores_twitter
54176794147,136,90566944856,56678,78170
11905722707,162,83526423577,41142,54128
23444552103,314,34433277166,43983,11902
29037602305,492,80335882707,90935,66617
22314819720,396,41601877126,40876,19207
89967652919,464,97104163471,70950,12533
67120543948,38,67473465396,79160,57381
17748732540,329,97725750066,95245,375
67256985747,284,14645898267,6256,57278
11163225476,473,71401834961,55199,69224
98054867227,294,11163225476,39463,14531
97689470542,37,41604470178,2596,82439
17431870275,294,97689470542,76074,99493
53764094684,236,17431870275,50224,43662
85531923628,456,53764094684,13928,95069
92282254437,356,01635067952,38823,31388
86709043451,216,93812061015,21135,30049
19075933926,156,78954917943,25942,74550
85425823503,37,74510667440,36659,8393
33653995215,195,85425823503,24991,56544
06428172836,103,85425823503,15699,8573
80256641102,380,22191459329,94510,58914
40520821005,6,77553352644,28545,19027
55655368457,302,40520821005,62285,4147
96322311209,348,50431706221,9403,72027
77553352644,125,19075933926,95753,71500
89470290796,367,48640804590,94506,49863
14827675633,291,74510667440,71556,20718
16094242344,494,21416377461,12946,94501
71230680232,103,69417222111,51045,32419
22191459329,317,26239557971,32177,32595
71546358433,273,11905722707,24162,52445
14645898267,257,76243814907,19437,56113
67473465396,268,72644632610,97198,32176
53482073107,125,34433277166,32778,8173
14879502650,127,53482073107,13298,95540
10284487695,476,97104163471,399,79952
97725750066,308,10284487695,93969,24166
80366338941,294,39419935310,93225,41187
54646632361,96,17431870275,41943,99242
22159254027,129,54646632361,14565,14481
58896894592,257,45464664342,36208,77657
44625759181,130,40520821005,6815,3515
59403982813,427,22314819720,99082,5828
12743868991,464,59403982813,41112,66301
39419935310,194,35290205131,22730,40422
51209072401,332,10284487695,69721,34438
18120255676,79,51209072401,24638,26300
49840863021,168,51777186579,97481,5756
87057955799,195,19039390896,7542,41312
01635067952,109,14879502650,56812,27536
60587448241,314,32290979216,9106,61229
67676792835,407,60587448241,83602,23936
76243814907,460,14879502650,31216,62904
94742576404,407,85531923628,73009,76216
46000480795,439,48037233959,33509,60205
35290205131,186,46000480795,38872,36413
35101621315,16,16687849327,29539,83388
49123427620,380,41601877126,42173,73863
64852242709,119,14031789065,60684,11917
66265702041,486,66432066506,97855,11212
01602367269,33,15704012739,65062,87022
11267993544,243,27937836285,16526,24038
96222450880,38,76243814907,24866,76084
53983242131,282,22191459329,91817,7844
54866293368,127,53764094684,31145,5795
20316501926,368,67786345560,86450,11639
81140323522,463,21139728044,71225,48308
32988793978,435,48037233959,70717,12289
24658686224,395,94526641215,25911,93406
79763819419,338,34628833159,79895,88424
83974572770,204,16687849327,88997,51363
45362219034,340,94742576404,27220,56217
01920639075,175,54176794147,94823,13835
61596110968,177,80366338941,49818,80023
92294849129,236,94742576404,3692,64423
82680416421,403,45362219034,27093,87875
52204980058,409,82680416421,93732,22506
62006030309,485,52204980058,76474,36831
58932054780,216,62006030309,17075,84246
27937836285,186,58932054780,50053,53845
43078166333,485,27937836285,36932,46562
12333985467,3,79763819419,64409,30246
30345303648,329,59403982813,41873,12926
30832310674,422,52228078744,68015,44650
89168612468,125,67256985747,40863,11590
93766492024,311,64852242709,40889,65407
16728589889,298,22314819720,90127,67579
57110086978,343,18907914107,71757,7162
66432066506,329,42230481369,54980,79106
04090191771,38,60897875273,61237,57563
21819871964,395,00381024382,67812,58784
87720576954,119,08644340024,21072,84552
16687849327,406,83526423577,24249,90583
03022776953,38,90540947267,95981,57596
12304828694,175,64852242709,81465,46101
30113182187,294,97104163471,71177,43463
38869959043,449,34628833159,26668,44942
50944150498,343,40520821005,11710,48135
79209300151,427,33050481023,6253,90509
31329864153,107,54176794147,70365,30758
96439917305,162,35101621315,81799,67141
55638150236,339,32988793978,48031,25286
82910046905,81,17748732540,94324,44299
42611790467,435,89470290796,27971,91474
32505669865,142,40520821005,23393,34588
57455491392,96,14031789065,29619,32943
79647444203,136,97104163471,4753,23354
91107111169,109,00381024382,34644,69856
60897875273,254,64852242709,21897,10853
97860905869,435,16687849327,93290,27705
72383127535,233,53764094684,95307,46966
68448948550,365,97104163471,89446,20679
01585031252,146,18907914107,62560,952
21139728044,294,17599360018,2866,92654
22324172228,304,50431706221,68834,64059
65919229999,317,72644632610,85610,73319
75530690007,343,19075933926,50517,62819
01698834295,308,83974572770,63758,17837
32300114712,317,60459336426,92618,32253
