CPF,codicao_socioeconomica,regiao_geografica,posicao_politica,religiao
48183442470,classe baixa,centro oeste,direita,espirita
50306775052,classe media,nordeste,centro,espirita
55052057675,classe baixa,nordeste,centro,judeu
42656854173,classe alta,sul,centro,catolico
59555254895,classe alta,sul,esquerda,catolico
18152060785,classe baixa,sudeste,esquerda,budista
10121577487,classe media,norte,direita,judeu
52069026651,classe baixa,sul,centro,catolico
84130809284,classe media,nordeste,direita,judeu
63177765705,classe media,sul,centro,espirita
37784667300,classe baixa,norte,direita,catolico
79880222165,classe baixa,sul,centro,judeu
95170129924,classe media,centro oeste,centro,budista
47580767548,classe alta,nordeste,direita,catolico
39757812721,classe baixa,nordeste,centro,judeu
12801966453,classe media,sudeste,centro,catolico
95361536975,classe alta,centro oeste,centro,budista
24782940779,classe baixa,sul,direita,catolico
21934973484,classe baixa,sudeste,direita,judeu
29843756446,classe alta,nordeste,esquerda,budista
49498444668,classe media,sudeste,direita,judeu
42080482681,classe media,sudeste,direita,judeu
17157026863,classe baixa,norte,centro,espirita
65366690706,classe baixa,norte,centro,budista
99700039753,classe media,norte,esquerda,espirita
47346202484,classe media,sudeste,centro,judeu
61196505081,classe media,nordeste,centro,espirita
64223323622,classe media,sudeste,esquerda,espirita
90023810478,classe alta,sudeste,direita,budista
33535041685,classe alta,norte,direita,espirita
53639130169,classe alta,sul,centro,budista
79863567597,classe alta,centro oeste,esquerda,judeu
59781686514,classe baixa,norte,direita,catolico
75246068947,classe media,nordeste,direita,espirita
79692100553,classe baixa,norte,esquerda,judeu
42002004314,classe baixa,centro oeste,direita,budista
19985507570,classe baixa,sudeste,centro,judeu
30054096892,classe alta,nordeste,centro,catolico
88245280118,classe baixa,norte,esquerda,catolico
45202481382,classe baixa,nordeste,direita,judeu
72430674651,classe media,sul,direita,judeu
43131904709,classe alta,sul,direita,espirita
59280157583,classe baixa,sudeste,esquerda,judeu
66624588688,classe alta,norte,esquerda,catolico
30318292237,classe alta,norte,esquerda,espirita
15523819198,classe baixa,sul,esquerda,judeu
13706997110,classe alta,sul,centro,judeu
49502247789,classe baixa,nordeste,direita,catolico
53947362553,classe alta,nordeste,direita,judeu
70861856830,classe media,sudeste,direita,budista
42493918427,classe alta,centro oeste,centro,judeu
26709847506,classe media,sudeste,direita,catolico
77864524542,classe baixa,sul,centro,espirita
42198045891,classe baixa,nordeste,direita,catolico
76958260698,classe alta,sul,esquerda,espirita
36300378251,classe baixa,sul,esquerda,budista
52064212476,classe media,sudeste,centro,espirita
60962769082,classe media,nordeste,centro,judeu
93700631142,classe baixa,sul,centro,judeu
86406029107,classe media,centro oeste,esquerda,judeu
26460995537,classe alta,sul,centro,catolico
42244819922,classe alta,norte,direita,catolico
38723801949,classe baixa,nordeste,direita,judeu
37153513942,classe alta,nordeste,direita,judeu
33112673094,classe media,centro oeste,esquerda,judeu
91351665691,classe baixa,centro oeste,esquerda,judeu
15977088330,classe media,sul,direita,espirita
20741938967,classe media,sudeste,esquerda,catolico
30673311187,classe media,sul,centro,budista
83905974151,classe media,norte,centro,judeu
76078585918,classe baixa,sul,esquerda,budista
15991655247,classe alta,nordeste,centro,judeu
42309893380,classe alta,sul,centro,catolico
89011713969,classe media,centro oeste,centro,catolico
13963494199,classe alta,norte,esquerda,espirita
24825301247,classe baixa,nordeste,direita,judeu
90764578040,classe alta,nordeste,esquerda,catolico
43737630879,classe media,sul,direita,judeu
79519499429,classe alta,centro oeste,direita,judeu
19417315207,classe alta,centro oeste,direita,espirita
66808555673,classe alta,sul,esquerda,catolico
13363174096,classe baixa,sudeste,esquerda,budista
70460912681,classe media,sul,esquerda,judeu
66262599503,classe alta,sudeste,esquerda,budista
21526920748,classe alta,centro oeste,centro,espirita
12871862458,classe baixa,centro oeste,direita,budista
86213302432,classe media,norte,esquerda,budista
92980715262,classe alta,nordeste,direita,catolico
45294657234,classe alta,nordeste,esquerda,budista
31016833642,classe media,sudeste,centro,judeu
19783593640,classe media,norte,esquerda,catolico
91668803384,classe alta,nordeste,direita,budista
92228328580,classe alta,nordeste,centro,espirita
69437574975,classe baixa,centro oeste,centro,judeu
42694022898,classe media,norte,esquerda,judeu
29001314879,classe baixa,nordeste,direita,catolico
97573552172,classe media,sul,esquerda,budista
97829953534,classe baixa,nordeste,esquerda,espirita
91070585891,classe baixa,norte,esquerda,judeu
67621838884,classe media,norte,direita,budista
91312052505,classe baixa,sudeste,direita,budista
79719010911,classe alta,norte,direita,catolico
16382646488,classe alta,sudeste,centro,judeu
92279844469,classe baixa,sudeste,esquerda,budista
57433335702,classe alta,sudeste,esquerda,catolico
91136039867,classe alta,centro oeste,esquerda,judeu
25351792662,classe media,centro oeste,direita,espirita
62463384926,classe alta,sudeste,centro,judeu
34523101584,classe baixa,sudeste,esquerda,espirita
34543819996,classe baixa,sul,esquerda,budista
12466528265,classe alta,centro oeste,esquerda,catolico
96171423801,classe alta,nordeste,direita,espirita
30187807607,classe alta,centro oeste,centro,judeu
14714447742,classe baixa,norte,esquerda,espirita
77735171646,classe baixa,norte,direita,espirita
27745989625,classe media,centro oeste,esquerda,budista
42892187957,classe media,sudeste,direita,espirita
94284562035,classe media,nordeste,centro,catolico
10054632725,classe baixa,centro oeste,esquerda,catolico
62021935195,classe media,nordeste,direita,catolico
83403102530,classe alta,nordeste,esquerda,budista
89198321818,classe alta,sudeste,direita,judeu
27040864926,classe alta,sul,direita,espirita
87925509411,classe alta,sudeste,direita,judeu
65748039358,classe alta,sul,centro,budista
37056207416,classe baixa,centro oeste,esquerda,espirita
35516335891,classe media,sudeste,esquerda,budista
71545743302,classe alta,nordeste,centro,judeu
66485543423,classe alta,sudeste,direita,judeu
96000044537,classe baixa,sul,esquerda,budista
88839995101,classe media,norte,direita,judeu
96450879661,classe media,norte,direita,catolico
77441582278,classe alta,centro oeste,esquerda,catolico
60054211414,classe media,sul,centro,espirita
57037934633,classe media,norte,centro,catolico
62643957369,classe baixa,centro oeste,esquerda,budista
32596070727,classe media,sul,direita,espirita
22043526134,classe baixa,centro oeste,centro,espirita
68518657253,classe media,norte,direita,espirita
96187711033,classe alta,sudeste,centro,budista
29311047552,classe alta,sul,esquerda,budista
29700390930,classe media,norte,direita,budista
97708192701,classe media,nordeste,direita,catolico
82496503039,classe media,nordeste,centro,budista
87143191003,classe baixa,sudeste,centro,espirita
47873627271,classe baixa,centro oeste,direita,judeu
55642679176,classe baixa,norte,direita,catolico
55050455992,classe media,nordeste,centro,espirita
45216300803,classe media,sudeste,esquerda,judeu
83114501974,classe baixa,norte,direita,catolico
61143842866,classe baixa,centro oeste,centro,espirita
96690119143,classe alta,norte,esquerda,espirita
89810108803,classe baixa,nordeste,esquerda,judeu
77284878892,classe alta,sul,direita,budista
79701231618,classe media,sudeste,centro,catolico
57093886335,classe baixa,sul,direita,espirita
86494776709,classe media,sudeste,esquerda,judeu
55216870745,classe media,sudeste,direita,judeu
46455097036,classe media,centro oeste,centro,judeu
28837754248,classe baixa,nordeste,esquerda,catolico
25084661917,classe baixa,nordeste,esquerda,espirita
20995539507,classe media,centro oeste,esquerda,espirita
59044169207,classe alta,sul,centro,budista
42794222924,classe baixa,centro oeste,direita,espirita
88314421245,classe media,nordeste,centro,judeu
70155550015,classe media,sudeste,esquerda,budista
57182410842,classe alta,sul,direita,catolico
62139838334,classe media,sudeste,centro,espirita
47433440489,classe alta,sul,centro,judeu
22553850931,classe baixa,norte,centro,budista
72849422673,classe alta,sudeste,centro,budista
21445801774,classe media,nordeste,direita,judeu
43519677021,classe media,norte,centro,espirita
14073757490,classe baixa,nordeste,centro,catolico
63099284822,classe media,nordeste,esquerda,espirita
69815853656,classe alta,centro oeste,direita,catolico
68515981117,classe baixa,sul,esquerda,judeu
93663478243,classe media,sudeste,direita,budista
45957204521,classe baixa,sul,centro,budista
29661333086,classe alta,sul,direita,judeu
94217955865,classe media,norte,direita,catolico
23114826004,classe alta,sudeste,esquerda,espirita
62045704274,classe baixa,centro oeste,esquerda,judeu
62038268196,classe baixa,sul,esquerda,budista
39471219929,classe baixa,sudeste,esquerda,budista
80370745264,classe alta,nordeste,esquerda,judeu
38304092243,classe media,norte,centro,espirita
25931066642,classe baixa,nordeste,direita,espirita
31386841686,classe baixa,nordeste,direita,budista
65867352672,classe baixa,sudeste,direita,judeu
91757452864,classe baixa,sul,esquerda,catolico
25333776405,classe alta,sudeste,esquerda,judeu
50843603333,classe media,centro oeste,direita,catolico
99303445381,classe media,nordeste,esquerda,budista
22087974056,classe baixa,norte,centro,espirita
86336299137,classe alta,norte,esquerda,judeu
99588161122,classe media,nordeste,centro,catolico
15040383018,classe media,sul,esquerda,espirita
45714253665,classe media,sudeste,direita,judeu
72298756948,classe media,centro oeste,esquerda,catolico
23789483562,classe alta,nordeste,centro,budista
64004904852,classe alta,nordeste,centro,budista
56188413257,classe media,norte,centro,budista
50495527986,classe alta,centro oeste,esquerda,budista
89969590505,classe baixa,nordeste,esquerda,budista
85254511969,classe baixa,sul,esquerda,espirita
47194417604,classe alta,sul,centro,espirita
65554946640,classe alta,centro oeste,esquerda,catolico
45431514028,classe alta,nordeste,centro,espirita
65100150015,classe alta,norte,centro,espirita
39921891569,classe alta,sudeste,esquerda,budista
74915142033,classe media,sul,centro,budista
63387750543,classe media,sudeste,centro,catolico
53872248146,classe baixa,nordeste,esquerda,budista
92139663755,classe alta,nordeste,esquerda,catolico
66486621011,classe alta,norte,direita,judeu
14478561739,classe baixa,norte,direita,judeu
38522490281,classe media,centro oeste,esquerda,catolico
38634798572,classe media,nordeste,centro,judeu
30006261589,classe alta,sul,direita,budista
99656034730,classe baixa,norte,centro,judeu
32600178188,classe alta,sul,centro,espirita
22576087520,classe baixa,sudeste,centro,catolico
96632149734,classe baixa,centro oeste,centro,espirita
49469282496,classe alta,sul,esquerda,budista
99494852482,classe alta,sudeste,direita,judeu
71933477336,classe alta,nordeste,esquerda,judeu
72026390325,classe media,sudeste,direita,budista
39610562524,classe baixa,nordeste,direita,budista
79801734521,classe alta,centro oeste,esquerda,judeu
19717712369,classe baixa,norte,centro,judeu
74021201114,classe baixa,sudeste,centro,espirita
54428713487,classe alta,norte,centro,espirita
54922884629,classe baixa,sul,direita,judeu
42125103572,classe baixa,sul,direita,espirita
62785545227,classe baixa,nordeste,centro,budista
65589935480,classe alta,nordeste,esquerda,espirita
30014095843,classe baixa,sudeste,esquerda,judeu
84201541590,classe media,centro oeste,esquerda,budista
65317181117,classe baixa,norte,direita,espirita
20081881067,classe alta,norte,direita,catolico
54050401502,classe baixa,sudeste,direita,budista
95037308551,classe alta,sudeste,centro,judeu
72422908352,classe baixa,centro oeste,centro,judeu
20671571747,classe alta,centro oeste,direita,judeu
63234274016,classe alta,norte,esquerda,espirita
15879482352,classe alta,sul,centro,espirita
74451017436,classe media,centro oeste,direita,judeu
27172968430,classe alta,centro oeste,direita,espirita
97588130501,classe media,norte,esquerda,espirita
89950348286,classe media,centro oeste,direita,espirita
52471786111,classe media,sul,esquerda,budista
33150322802,classe media,norte,esquerda,budista
87127120274,classe baixa,nordeste,direita,espirita
53554110469,classe baixa,norte,centro,budista
21051093984,classe baixa,norte,direita,budista
49862060197,classe media,sudeste,centro,espirita
62043016583,classe baixa,sul,centro,budista
79780493362,classe media,sudeste,esquerda,catolico
34772695121,classe alta,sul,centro,judeu
34257719694,classe media,sul,direita,judeu
31885859373,classe alta,centro oeste,centro,budista
66690387754,classe alta,centro oeste,centro,judeu
61425235690,classe alta,centro oeste,direita,catolico
85800375499,classe alta,norte,esquerda,catolico
81642641095,classe baixa,centro oeste,centro,catolico
72944927415,classe media,sudeste,esquerda,budista
72051246679,classe media,norte,direita,judeu
65036740172,classe media,nordeste,direita,judeu
23751497350,classe alta,centro oeste,direita,catolico
21763209057,classe media,norte,esquerda,judeu
74709812167,classe baixa,norte,direita,judeu
14694369297,classe alta,nordeste,direita,judeu
38832162245,classe baixa,centro oeste,direita,judeu
59863218792,classe baixa,norte,centro,budista
40291718360,classe baixa,norte,centro,espirita
56441478802,classe baixa,nordeste,direita,espirita
53734420170,classe media,sudeste,direita,espirita
28916646013,classe baixa,norte,centro,judeu
63994356436,classe media,sul,direita,espirita
93716425893,classe media,norte,direita,catolico
11667790918,classe media,sul,esquerda,catolico
50854317679,classe alta,sul,centro,catolico
78081622420,classe media,sul,centro,judeu
73353302603,classe alta,centro oeste,esquerda,catolico
38552414028,classe baixa,sul,centro,budista
37514805460,classe media,sudeste,esquerda,judeu
44529184689,classe alta,norte,esquerda,espirita
31719614874,classe baixa,sul,centro,catolico
27806394663,classe media,sul,direita,budista
54611838086,classe alta,norte,esquerda,budista
88205440170,classe media,norte,direita,budista
45544483281,classe media,centro oeste,centro,budista
39576275052,classe baixa,sul,centro,espirita
63467968717,classe alta,centro oeste,direita,espirita
27064520509,classe alta,sul,esquerda,budista
97815583052,classe baixa,sul,direita,espirita
76320815190,classe alta,sul,centro,budista
54786426039,classe baixa,centro oeste,esquerda,budista
52865675234,classe media,nordeste,esquerda,catolico
31492579543,classe media,nordeste,esquerda,espirita
74005334542,classe baixa,sul,esquerda,budista
54366263085,classe alta,sudeste,direita,budista
49802513926,classe alta,centro oeste,centro,budista
78235088615,classe media,sudeste,direita,espirita
53265054055,classe baixa,sudeste,esquerda,judeu
44130025108,classe baixa,nordeste,centro,budista
23364619806,classe media,norte,esquerda,judeu
13934096913,classe alta,nordeste,centro,catolico
68746688697,classe baixa,sudeste,centro,budista
76916523214,classe media,centro oeste,direita,judeu
85599669323,classe baixa,sul,centro,espirita
63824081148,classe baixa,sul,direita,judeu
30255903589,classe baixa,centro oeste,esquerda,judeu
51127301318,classe baixa,norte,esquerda,budista
39704992613,classe baixa,sudeste,centro,espirita
89617818859,classe alta,nordeste,direita,espirita
24943270937,classe alta,norte,direita,espirita
53289283428,classe alta,centro oeste,direita,budista
23869551132,classe media,centro oeste,direita,catolico
15718400921,classe alta,nordeste,direita,catolico
61591819045,classe baixa,centro oeste,esquerda,catolico
67246640092,classe baixa,sudeste,direita,judeu
11738698621,classe media,centro oeste,direita,catolico
44724330203,classe baixa,norte,esquerda,espirita
66432245464,classe media,sudeste,centro,budista
64319551004,classe alta,sudeste,centro,catolico
67600588100,classe alta,nordeste,direita,espirita
50169110076,classe media,nordeste,direita,budista
98597690457,classe baixa,nordeste,centro,catolico
25404582076,classe alta,norte,esquerda,espirita
46253770262,classe baixa,sudeste,direita,catolico
10111463315,classe media,centro oeste,centro,catolico
20312959097,classe media,centro oeste,direita,judeu
77987804189,classe alta,norte,centro,catolico
23315968667,classe media,norte,esquerda,budista
48917591744,classe alta,centro oeste,esquerda,catolico
66865456555,classe alta,centro oeste,centro,budista
77290210580,classe baixa,sudeste,esquerda,espirita
84275150322,classe baixa,sul,esquerda,judeu
19752186774,classe alta,norte,esquerda,espirita
63085340335,classe media,nordeste,centro,espirita
97890669423,classe baixa,sul,centro,budista
63166906963,classe alta,sul,centro,espirita
51237662392,classe media,nordeste,esquerda,budista
69975932839,classe baixa,sul,centro,catolico
76471447111,classe baixa,nordeste,centro,judeu
85071566010,classe alta,nordeste,esquerda,espirita
70995383076,classe alta,centro oeste,direita,judeu
22888153504,classe baixa,sul,direita,judeu
28393072255,classe baixa,nordeste,esquerda,budista
27062931945,classe baixa,norte,direita,espirita
37934155451,classe alta,nordeste,esquerda,catolico
33906313758,classe media,nordeste,esquerda,espirita
71874930060,classe alta,sudeste,centro,judeu
35598384310,classe baixa,sul,centro,budista
96038846321,classe baixa,sudeste,centro,judeu
65582696476,classe media,sul,direita,espirita
80300907955,classe alta,nordeste,centro,budista
45286018686,classe baixa,norte,direita,budista
18315357394,classe alta,sudeste,esquerda,judeu
77737507303,classe media,sul,direita,catolico
25790877139,classe media,centro oeste,centro,budista
66212797026,classe baixa,centro oeste,centro,catolico
63026001655,classe media,sudeste,direita,espirita
37918511097,classe media,centro oeste,esquerda,catolico
17238879566,classe baixa,nordeste,esquerda,espirita
81895513559,classe alta,nordeste,direita,judeu
93484022108,classe baixa,norte,esquerda,catolico
24331192179,classe baixa,nordeste,esquerda,espirita
76259933390,classe alta,sudeste,esquerda,judeu
55642138234,classe media,norte,centro,budista
80876098737,classe alta,sul,direita,catolico
73585985029,classe media,norte,esquerda,budista
99968965280,classe alta,sul,centro,catolico
18002507603,classe alta,sudeste,esquerda,espirita
91851661209,classe baixa,norte,direita,catolico
46710419316,classe media,nordeste,centro,judeu
61714908159,classe baixa,sul,direita,budista
47914187648,classe media,sudeste,esquerda,espirita
90020630032,classe media,nordeste,esquerda,catolico
43398554385,classe alta,norte,direita,judeu
15897316261,classe alta,centro oeste,direita,judeu
80196711124,classe baixa,centro oeste,direita,catolico
36411259434,classe baixa,norte,esquerda,catolico
56629968013,classe alta,nordeste,esquerda,budista
92252329663,classe baixa,centro oeste,direita,judeu
78771879084,classe alta,centro oeste,esquerda,espirita
13045619909,classe baixa,sudeste,esquerda,budista
78576965724,classe alta,centro oeste,esquerda,catolico
82717567934,classe alta,norte,esquerda,catolico
49420581592,classe alta,nordeste,centro,catolico
27049869371,classe baixa,nordeste,esquerda,catolico
64361394591,classe media,sudeste,centro,catolico
45759438747,classe baixa,sudeste,esquerda,budista
34312446275,classe media,sul,esquerda,judeu
17638889174,classe baixa,centro oeste,centro,espirita
25739970831,classe alta,sul,esquerda,espirita
32110776933,classe baixa,norte,esquerda,catolico
95596993021,classe baixa,sul,direita,catolico
64724634515,classe baixa,centro oeste,centro,catolico
66315780687,classe media,sul,direita,judeu
87777643856,classe alta,sudeste,direita,judeu
88268150493,classe alta,sul,esquerda,judeu
67456041205,classe baixa,sul,direita,espirita
15623573656,classe baixa,sudeste,esquerda,budista
42118597251,classe alta,sudeste,esquerda,judeu
59500819660,classe media,sudeste,centro,budista
72816913726,classe alta,norte,direita,catolico
77555646580,classe baixa,sudeste,direita,judeu
79319340379,classe media,centro oeste,direita,judeu
35222416878,classe media,nordeste,direita,budista
34210612154,classe media,sul,centro,catolico
42104737670,classe baixa,nordeste,direita,judeu
77472759415,classe alta,sul,direita,espirita
33946953804,classe media,sudeste,esquerda,budista
23623723355,classe alta,nordeste,direita,budista
59797710851,classe baixa,norte,centro,catolico
80341946243,classe alta,nordeste,centro,espirita
79319841732,classe alta,norte,direita,judeu
83295871201,classe alta,centro oeste,centro,judeu
73675502005,classe baixa,sudeste,direita,espirita
69735817329,classe baixa,nordeste,centro,catolico
64052820714,classe baixa,nordeste,centro,espirita
62672009057,classe media,norte,centro,catolico
15511958420,classe media,nordeste,direita,catolico
10442985726,classe baixa,sul,direita,budista
21474207052,classe alta,nordeste,esquerda,catolico
40650321886,classe alta,centro oeste,direita,catolico
76493133843,classe baixa,norte,direita,judeu
46220460695,classe alta,sudeste,centro,judeu
92306224031,classe baixa,sudeste,centro,judeu
34110581612,classe baixa,sudeste,esquerda,budista
49058873877,classe media,sul,esquerda,catolico
39241645304,classe baixa,sul,direita,budista
78049539771,classe alta,sudeste,esquerda,judeu
84623105593,classe media,norte,centro,judeu
56886186581,classe baixa,norte,centro,judeu
97870613110,classe alta,centro oeste,esquerda,judeu
98606310464,classe baixa,nordeste,direita,espirita
75554533613,classe baixa,centro oeste,centro,budista
19682338511,classe media,sudeste,esquerda,judeu
18479463063,classe baixa,norte,esquerda,judeu
61356293940,classe alta,sudeste,esquerda,judeu
20406098070,classe media,nordeste,centro,judeu
26604719509,classe media,norte,direita,espirita
42991022677,classe baixa,nordeste,centro,catolico
59494775527,classe baixa,norte,centro,budista
38609921218,classe media,centro oeste,esquerda,espirita
20395657601,classe baixa,norte,centro,budista
47644894731,classe baixa,sudeste,esquerda,catolico
35652275733,classe media,sul,centro,espirita
75021177050,classe media,sudeste,centro,budista
23651619261,classe alta,norte,direita,budista
98236086014,classe media,norte,esquerda,catolico
44593594797,classe alta,sul,esquerda,budista
42203158722,classe media,sudeste,esquerda,judeu
42094739256,classe baixa,nordeste,esquerda,catolico
53080690149,classe alta,sul,direita,espirita
52554845073,classe baixa,sudeste,direita,budista
70352089637,classe media,sudeste,centro,judeu
71725784006,classe alta,nordeste,direita,catolico
73197237095,classe alta,centro oeste,esquerda,judeu
65026897934,classe alta,centro oeste,esquerda,budista
82014605563,classe media,sul,centro,catolico
13482598864,classe media,sudeste,direita,catolico
75259335535,classe alta,norte,direita,catolico
71847592531,classe baixa,sul,esquerda,catolico
50411067514,classe media,norte,direita,espirita
22262889823,classe baixa,norte,centro,catolico
75212970089,classe alta,sudeste,direita,judeu
32477724980,classe baixa,nordeste,centro,judeu
91531777984,classe alta,sul,direita,judeu
89283551868,classe baixa,sudeste,direita,espirita
28794100306,classe alta,nordeste,direita,judeu
69518691357,classe media,nordeste,centro,espirita
45684498584,classe baixa,sudeste,esquerda,judeu
15672331656,classe media,sudeste,centro,judeu
60922634497,classe media,sudeste,esquerda,judeu
60579516056,classe alta,nordeste,esquerda,judeu
62469847372,classe alta,sul,esquerda,catolico
33593578273,classe media,sul,esquerda,budista
23652301664,classe baixa,centro oeste,esquerda,catolico
40072126269,classe alta,nordeste,esquerda,judeu
48237599045,classe baixa,sul,centro,espirita
78205382491,classe media,norte,esquerda,judeu
81414454007,classe alta,nordeste,esquerda,espirita
34289036295,classe baixa,norte,centro,budista
20815811986,classe media,norte,centro,catolico
28185058360,classe media,sul,direita,judeu
45613279754,classe alta,centro oeste,direita,catolico
52030007516,classe alta,sul,centro,catolico
83775342182,classe alta,nordeste,centro,judeu
46832077218,classe media,norte,direita,espirita
83231890548,classe media,norte,esquerda,catolico
60802624872,classe media,sudeste,esquerda,budista
49940851331,classe alta,sudeste,direita,judeu
25654009476,classe baixa,sul,esquerda,espirita
38912525577,classe baixa,norte,direita,judeu
48535430470,classe media,norte,esquerda,judeu
25313249954,classe alta,norte,direita,judeu
70911736503,classe media,sudeste,centro,catolico
90963563326,classe baixa,sudeste,centro,espirita
71303446423,classe media,sul,direita,judeu
22247764088,classe baixa,centro oeste,centro,espirita
76255345347,classe baixa,sudeste,centro,catolico
33555357424,classe baixa,norte,esquerda,espirita
87680717799,classe baixa,centro oeste,direita,judeu
31165529996,classe baixa,sul,esquerda,catolico
72081547436,classe alta,sul,direita,catolico
56676321713,classe media,sudeste,centro,catolico
71383306408,classe alta,centro oeste,esquerda,budista
66217844933,classe media,sudeste,esquerda,judeu
97405269721,classe alta,sudeste,centro,catolico
45307681217,classe baixa,nordeste,direita,judeu
71485862483,classe baixa,sul,esquerda,espirita
